user_id,masked_ip,timestamp,country,region,city,isp,device_type,device_cat,device_hash,browser,browser_clean,os,rtt_ms,hour_of_day,is_attack_ip,is_anomalous,risk_score,decision
5d549f5d-1388-5239-890e-60af49240550,6.82.xxx.xxx,2023-01-25T07:55:00,United States,Region-4,City-19,Rostelecom,Mobile,Mobile,a52601e7ffdce7c6,Chrome,Chrome,Windows 10,364,7,0,0,1,ALLOW
44e064eb-c277-563d-9ca0-e95432d1401c,253.158.xxx.xxx,2023-09-04T02:06:00,Russia,Region-23,City-8,China Telecom,Desktop,Desktop,b8892e72f27d058c,Chrome,Chrome,Windows 10,219,2,0,0,39,OTP
c9ee8622-5def-598e-a2b8-979e6904a572,250.49.xxx.xxx,2023-08-30T02:17:00,Other,Region-18,City-185,Hetzner,Mobile,Mobile,f79e33469fd7205d,Chrome,Chrome,Windows 10,410,2,0,0,6,ALLOW
04612b23-fb92-544f-bc41-c43bf1762c32,141.216.xxx.xxx,2023-10-14T02:27:00,Japan,Region-2,City-93,Comcast,Desktop,Desktop,6cc378c6e162cb64,Chrome,Chrome,Windows 10,827,2,0,0,18,ALLOW
72bc2580-b49b-5ff7-abc2-70d6e459171b,75.251.xxx.xxx,2023-05-05T09:30:00,Russia,Region-28,City-30,BT Group,Desktop,Desktop,564dd4e1fb85d892,Chrome,Chrome,Windows 11,3710,9,0,1,87,BLOCK
3b9aa969-5b3d-560e-a755-384a4762f641,95.227.xxx.xxx,2023-10-10T04:31:00,United States,Region-6,City-115,Comcast,Mobile,Mobile,d5d4ea4a3d243d8e,Chrome,Chrome,Linux,202,4,0,0,5,ALLOW
11f02ad2-c30b-5809-9f4d-96722705a37d,193.179.xxx.xxx,2023-02-14T21:13:00,France,Region-3,City-172,Rostelecom,Desktop,Desktop,dba688396d6931aa,Safari,Safari,iOS,865,21,0,0,0,ALLOW
6cab9eae-d051-5191-b5ec-ce80f75d0a4a,108.248.xxx.xxx,2023-10-09T21:10:00,United Kingdom,Region-28,City-122,Vivo,Mobile,Mobile,59facd74c77d4d5a,Chrome,Chrome,Windows 10,452,21,0,0,8,ALLOW
be657380-d96e-5608-b957-724d07284af4,147.231.xxx.xxx,2023-01-26T06:55:00,United States,Region-19,City-174,Vivo,Desktop,Desktop,5e96a3661a5f1632,Edge,Edge,Linux,168,6,0,0,8,ALLOW
1d037485-d069-58e8-8cc3-34dbc4b06a14,33.11.xxx.xxx,2023-06-04T07:02:00,Brazil,Region-22,City-112,BSNL,Mobile,Mobile,5113b905363d31b0,Chrome,Chrome,Windows 11,377,7,0,0,0,ALLOW
62768b26-7e8c-58b5-bc6b-13fb6c153973,100.143.xxx.xxx,2023-02-18T19:07:00,France,Region-11,City-71,Rogers,Desktop,Desktop,24612f7ad026f5be,Chrome,Chrome,Linux,168,19,0,0,0,ALLOW
4bad84d8-8852-520c-9968-eb88cbffbb16,107.39.xxx.xxx,2023-11-02T12:56:00,France,Region-19,City-150,DigitalOcean,Desktop,Desktop,611587886cdfa790,Firefox,Firefox,iOS,168,12,0,0,0,ALLOW
c4f63517-5579-56bd-a613-cf5adee2b6f9,68.99.xxx.xxx,2023-09-08T09:32:00,Canada,Region-19,City-156,NTT,Desktop,Desktop,476f5ef2582ff7ba,Chrome,Chrome,macOS,296,9,0,0,5,ALLOW
604bfdf7-a88c-579f-959f-ef60e584c089,102.228.xxx.xxx,2023-10-20T12:33:00,India,Region-23,City-61,Comcast,Desktop,Desktop,d58187aa3d9c3038,Chrome,Chrome,Linux,52,12,0,0,0,ALLOW
ea4ee4fc-e7b2-5a92-9aa6-c09497ac9a77,72.216.xxx.xxx,2023-08-09T16:16:00,Other,Region-23,City-176,AT&T,Mobile,Mobile,f0503be70a4bd687,Chrome,Chrome,Chrome OS,61,16,0,0,1,ALLOW
1aa50d02-10c1-51bf-b6c1-954ad4537598,187.107.xxx.xxx,2023-08-22T15:34:00,United States,Region-3,City-49,NTT,Tablet,Tablet,2c2b9f604823bb7c,Chrome,Chrome,Chrome OS,156,15,0,0,0,ALLOW
39342375-47ea-57bf-9866-e42d3ef4eb08,132.203.xxx.xxx,2023-09-30T06:33:00,Japan,Region-10,City-182,Rogers,Desktop,Desktop,5028942861ffdbe3,Chrome,Chrome,iOS,108,6,0,0,0,ALLOW
a9d99da6-e418-52b3-a771-0ebf178d1ae5,225.214.xxx.xxx,2023-05-07T12:16:00,Brazil,Region-2,City-64,Comcast,Mobile,Mobile,2ebb4bcd21cd5d90,Safari,Safari,Windows 10,314,12,0,0,0,ALLOW
3c60800b-d2eb-50fe-8204-06bfc3e3b62c,8.62.xxx.xxx,2023-04-01T04:50:00,Iran,Region-20,City-115,Deutsche Telekom,Mobile,Mobile,ca80a38360beaeb3,Chrome,Chrome,Linux,1653,4,1,1,100,BLOCK
b7e7ddbd-df78-5f13-a98c-71a4339f3095,8.99.xxx.xxx,2023-03-07T19:42:00,Other,Region-28,City-147,DigitalOcean,Desktop,Desktop,456581aee65b70a3,Chrome,Chrome,macOS,79,19,0,0,1,ALLOW
d7641ce9-70fc-5f34-980c-b1f4f6924a96,6.222.xxx.xxx,2023-10-26T04:39:00,Australia,Region-25,City-175,Comcast,Desktop,Desktop,18c48c9de1fb0f06,Firefox,Firefox,macOS,790,4,0,0,16,ALLOW
d136878a-8746-5c0b-9fa2-2186aa4739a4,156.207.xxx.xxx,2023-06-12T22:39:00,Brazil,Region-23,City-182,OVH,Desktop,Desktop,c787c7a239804c89,Chrome,Chrome,Windows 10,204,22,0,0,0,ALLOW
